Site name,Country,State/Region,Latitude,Longitude,Profile name,Thickness range,Mean thickness (cm),LLST,MLST,MLST-A,MLST-B,MLST-C,MLST-C1,MLST-C2,MLST-C3,ULST,Various,Phase uncertainty,Distance from vent (km),Altitude (m),Depth of tephra layer (cm),Fan direction...23,Fan direction...24,Associated archaeology,Primary,Secondary,Reworked,Fall,Fluvial,XRF,Heavy minerals,Trace elements,Grain size distribution,Shard morphology,Comments,Reference1,Reference2,Reference3,Reference4,Reference5,Reference6,Update,Regional co-ordinates...62,Regional co-ordinates...63,unique_id
Erlenbruck,Germany,Bayern,47.886667,8.096944,near Hinterzarten; Profil 4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,290,NA,588,S,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,Yes,NA,"Frechen, J. “Die Herkunft der spätglazialen Bimstuffe in mittel- und süddeutschen Mooren”. Geologisches Jahrbuch 67 (1952): 209–30.","Lang, G. “Zur spateiszeitlichen Vegetationsund Florengeschichte Siidwestdeutschlands”. Flora 139 (1952): 243–94.",NA,NA,NA,NA,NA,NA,NA,137
Rotmeer,Germany,Bayern,47.865556,8.116389,RO-6,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,960,968-969,S,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Birks, H. J. B., og A. F. Lotter. “The impact of the Laacher See Volcano (11000 yr B.P.) on terrestrial vegetation and diatoms”. Journal of Paleolimnology 11 (1994): 313–22. https://doi.org/10.1007/BF00677991.",NA,NA,NA,NA,NA,NA,NA,NA,138
Schwarzes Moor,Germany,Bayern,50.5175,10.170833,Profil 5426-2 (gestaucht/compressed!),5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,S,2,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Völkel, J., M. Leopold, og M. C. Roberts. “The radar signatures and age of periglacial slope deposits, Central Highlands of Germany”. Permafrost and Periglacial Processes 12, nr. 4 (december 2001): 379–87.","Kleber, A., B. Terhorst, H. Bullmann, D. Hülle, M. Leopold, S. Müller, T. Raab, m.fl. “Subdued Mountains of Central Europe”. I Developments in Sedimentology, redigeret af Arno Kleber og Birgit Terhorst, Volume 66:9–93. Elsevier, 2013.","Völkel, Jörg, Matthias Leopold, Andrea Mahr, og Thomas Raab. “Zur Bedeutung klatzeitlicher Hangsedimente in zentraleuropäischen Mittelgebirgslandschaften und zu Fragen ihrer Terminologie”. Petermanns geographische Mitteilungen 146, nr. 2 (2002): 50–59.",NA,NA,NA,NA,NA,NA,139
Ammersee,Germany,Bayern,48.009595,11.117341,"AS 82/6, 7, 8",0.1 - 0.2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,380,NA,71,S,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Klee, R., R. Schmidt, og J. Müller. “Alleröd diatom assemblages in prealpine hardwater lakes of Bavaria and Austria as preserved by the Laacher See eruption event”. Limnologica 23, nr. 2 (1993): 131–43.",NA,NA,NA,NA,NA,Update,NA,NA,140
Starnberger See,Germany,Bayern,47.910201,11.31217,"STA 85/1, STA 90/872",0.1 - 0.2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,400,NA,130.5/807,S,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,Yes,NA,"Klee, R., R. Schmidt, og J. Müller. “Alleröd diatom assemblages in prealpine hardwater lakes of Bavaria and Austria as preserved by the Laacher See eruption event”. Limnologica 23, nr. 2 (1993): 131–43.",NA,NA,NA,NA,NA,Update,NA,NA,141
Buchensee,Germany,Bayern,47.769164,8.979499,NA,0.2 - 0.3,0.25,NA,NA,NA,1,NA,NA,1,NA,NA,NA,MLST-B or C2?,220,58.9,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Bertsch, Andreas. “Über einen Fund von allerödzeitlichem Laacher Bimstuff im westlichen Bodenseegebiet und seine Zuordnung zur Vegetationsentwicklung”. Naturwissenschaften 47, nr. 7 (1960): 167.","Bertsch, Andreas. “Untersuchungen zur spätglazialen Vegetationsgeschichte Südwestdeutschlands: Mittleres Oberschwaben und westliches Bodenseegebiet”. Flora oder Allgemeine Botanische Zeitung 151, nr. 2 (januar 1961): 243–80. https://doi.org/10.1016/S0367-1615(17)33260-3.",NA,NA,NA,NA,NA,50 48 00,010 15 22,142
Rachelsee,Germany,Bayern,48.974558,13.401862,NA,Traces only,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,NA,S,2,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,"Kletetschka, Gunther, Daniel Vondrák, Jolana Hruba, Willem Oscar van der Knaap, Jacqueline F. N. van Leeuwen, and Marco Heurich. “Laacher See Tephra Discovered in the Bohemian Forest, Germany, East of the Eruption.” Quaternary Geochronology 51 (April 1, 2019): 130–39. https://doi.org/10.1016/j.quageo.2019.02.003.",NA,NA,NA,NA,NA,NA,NA,NA,143
Unterer Inselsee,Germany,Bayern,47.646642,10.288675,SB1,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"Jerz, Hermann. Geologische Karte von Bayern 1:25000. Erläuterungen zum Blatt Nr. 8327 Buchenberg. München: Bayerisches Geologisches Landesamt, 1974.",NA,NA,NA,NA,NA,NA,NA,NA,144
Alzenau,Germany,Bayern,50.109167,9.063611,Grube Zeller,Ze2: 2 - 3; Ze1: 3 - 4; secondary deposits: <15cm,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NE,1,NA,1,NA,1,1,NA,NA,1,NA,Yes,Yes,Is this LST?,"Seidenschwann, G., og Etienne H. Juvigné. “Fundstellen mittelpleistozäner Tephralagen im Randbereich des Kristallinen Vorspessarts. Ein Beitrag zur Schwermineralogie und Stratigraphie quartärer Tephren”. Zeitschrift der deutschen Gesellschaft für Geowissenschaften 137 (1986): 625–55.",www.spessartit.de/130.htm#,NA,NA,NA,NA,NA,50 05 59,009 02 50,145
Krampnitz,Germany,Brandenbrug,52.4695,13.036694,Bohrung Krampnitz 3/2014 Mtbl.: 3544,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,33,730,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Strahl pers.comm. (17.10.2014),NA,NA,NA,NA,NA,NA,NA,NA,146
Regenbogensee,Germany,Brandenbrug,52.750054,13.500739,NA,"""Außerdem liegt bei 6,05 m Teufe ein massenhafter Nachweis an Partikeln der Laacher See Tephra (LST) vor."" (p.121)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,605,NE,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"Bussemer, Sixten, Christoph Kunkel, og Jaqueline Strahl. “Komplexe landschaftsgenetische und standortkundliche Studie zum Einzugsgebiet des Regenbogensees (Barnim) als Prototyp eines mesotrophen Weichwassersees Brandenburgs”. Brandenburger geowissenschaftliche Beiträge 20, nr. 1/2 (2013): 117–23.",NA,NA,NA,NA,NA,NA,NA,NA,147
Wandlitzsee,Germany,Brandenbrug,52.757218,13.446459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Bussemer, Sixten, Peter Gärtner, Axel Heise, Christoph Kunkel, og Jaqueline Strahl. “Die Entwicklung des Wandlitzer Sees und seiner Umgebung (Naturpark Barnim) seit dem ausgehenden Weichsel-Glazial”. Brandenburger geowissenschaftliche Beiträge 23, nr. 1/2 (2016): 33–58.",NA,NA,NA,NA,NA,NA,NA,NA,148
Luchsee,Germany,Brandenburg,52.043522,13.797072,Lz 1127/2005 Luchsee (Ksk 1127/2005),0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,375,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Bericht zur pollenanalytischen Untersuchung der Bohrung Luchsee Lz 1127, Land Brandenburg”. Berichte Landesamt für Bergbau, Geologie und Rohstoffe, 2007.","Strahl, Jaqueline. “Zur vegetationsgeschichtlichen Entwicklung des Sawallschen Luchs südlich Trebatsch, Landkreis Oder-Spree”. Natur und Landschaft in der Niederlausitz 30 (2013): 5–32.",NA,NA,NA,NA,Update 7,NA,NA,149
Byhleguhrer Bagen,Germany,Brandenburg,51.884276,14.178476,ByBa II,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.","Strahl, Jaqueline. “Zur vegetationsgeschichtlichen Entwicklung des Sawallschen Luchs südlich Trebatsch, Landkreis Oder-Spree”. Natur und Landschaft in der Niederlausitz 30 (2013): 5–32.",NA,NA,NA,NA,Update 7,NA,NA,150
Kersdorf-Briesen,Germany,Brandenburg,52.343074,14.259656,Kersdorf-Briesen 1 & 2 (BriFu 1/1995) - GK 3651,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,1773-1774,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Schulz, I., og J. Strahl. “Die Kersdorfer Rinne als Beispiel subglazialer Rinnenbildung im Bereich der Frankfurter Eisrandlage – Ergebnisse geomorphologischer und pollenanalytischer Untersuchungen in Ostbrandenburg”. Zeitschrift für geologische Wissenschaften 29, nr. 1/2 (2001): 99–107.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,151
Werbellinseerinne,Germany,Brandenburg,52.927778000000004,12.935833,BK 5E,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,23.58,995,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Börner, A. “Altersstellung und morphogenetische Deutung von Torfen und Sedimenten in Beckenbereichen des Eberswalder Urstromtals und des Niederen Oderbruchs”. Greifswalder Geographische Arbeiten 26 (2002): 15–17.","Börner, A. Das Eberswalder Urstromtal - Untersuchungen zur pleistozänen Landschaftsgenese zwischen Niederem Oderbruch und Werbellinseerinne (Nordost-Brandenburg). Schriftenreihe für Geowissenschaften 17. Usedom: Störr, 2007.",NA,NA,NA,NA,NA,NA,NA,152
Neue Wiesen TLP 10,Germany,Brandenburg,52.426863,13.61345,TLP 10 (GK 3547),1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,930,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,NA,153
Neue Wiesen Eis I,Germany,Brandenburg,52.429308,13.614991,Eis I (GK 3547),1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,362,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Strahl (pers.comm.),NA,NA,NA,NA,NA,NA,NA,NA,154
Diebelsee,Germany,Brandenburg,52.925556,13.74,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Schlaak, N., og T. Schoknecht. “Geomorphologische und palynologische Untersuchungen im Vorland der Pommerschen Eisrandlage am Beispiel der Bugsinseerinne (Nordbrandenburg)”. Greifswalder Geographische Arbeiten 26 (2002): 101–5.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,155
Wittwesee,Germany,Brandenburg,53.121167,12.551803,WIT E (GK 2843),1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,NA,1552-1553.5,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,NA,156
Landiner See,Germany,Brandenburg,52.669167,12.556111,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,NA,795,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Mundel, Gerhart. “GEOGENETISCHE UND PEDOGENETISCHE UNTERSUCHUNGEN IN VERLANDUNGSMOOREN UND VERLANDUNGSSÄUMEN VON SEEN IM HAVELLAND”. Archives of Agronomy and Soil Science 49, nr. 2 (2003): 129–40.",NA,NA,NA,NA,NA,NA,NA,NA,157
Blankensee,Germany,Brandenburg,52.225833,13.120833,BLA00,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kleinmann, A., J. Merkt, og H. Müller. “Sedimentologische und palynologische Untersuchungen an Ablagerungen des Siethener Sees und Blankensees (Brandenburg) - erste Ergebnisse”. Greifswalder Geographische Arbeiten 26 (2002): 59–62.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,158
Rehwiese,Germany,Brandenburg,52.427972,13.199556,RW09-A/B and RW09-C/D,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,45,"A/B: 10.16, C/D: 8.48",NE,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,Yes,NA,"Neugebauer, Ina, Achim Brauer, Nadine Dräger, Peter Dulski, Sabine Wulf, Birgit Plessen, Jens Mingram, Ulrike Herzschuh, og Arthur Brande. “A Younger Dryas varve chronology from the Rehwiese palaeolake record in NE-Germany”. Quaternary Science Reviews 36, nr. 0 (2012): 91–102. http://dx.doi.org/10.1016/j.quascirev.2011.12.010.",NA,NA,NA,NA,NA,Update 7,NA,NA,159
Paddenluch,Germany,Brandenburg,52.459918,13.804872,NA,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,510,NA,101-103 (Aufschlußhöhe),NE,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,NA,160
Breitlingsee,Germany,Brandenburg,52.376442,12.543195,BRE-D,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,NA,1951-1948.5,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,NA,161
Siethener See,Germany,Brandenburg,52.289526,13.20502,SI1/B Si 0 (GK 3745),2.5,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kleinmann, A., J. Merkt, og H. Müller. “Sedimentologische und palynologische Untersuchungen an Ablagerungen des Siethener Sees und Blankensees (Brandenburg) - erste Ergebnisse”. Greifswalder Geographische Arbeiten 26 (2002): 59–62.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,162
Rundes Fenn,Germany,Brandenburg,52.62,12.737222,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Mundel, Gerhart. “Moorgeologisch-moorbodenkundliche Untersuchungen in Brandenburg”. Archives of Agronomy and Soil Science 48, nr. 1 (2002): 7–18.",NA,NA,NA,NA,NA,NA,NA,NA,163
Döberitzer Heide,Germany,Brandenburg,52.476667,13.007222,Jungfernfenn/Kienfenn/Schwanengrabenrinne/Schwarzes Fenn,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,NA,295,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Wolters, S. Vegetationsgeschichtliche Untersuchungen zur spätglazialen und holozänen Landschaftsentwicklung in der Döberitzer Heide (Brandenburg). Bd. 366. Disserationes Botanicae. Berlin: J. Cramer, 2002.","Mundel, Gerhart. “Moorgeologisch-moorbodenkundliche Untersuchungen in Brandenburg”. Archives of Agronomy and Soil Science 48, nr. 1 (2002): 7–18.",NA,NA,NA,NA,NA,NA,NA,164
Sacrower See,Germany,Brandenburg,52.444213,13.101334,SAC05/15,3,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,29.5,1173-1176,NE,1,Late prehistory/historical material only,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Enters, D., E. Kirilova, A. Lotter, A. Lücke, J. Parplies, S. Jahns, G. Kuhn, og B. Zolitschka. “Climate change and human impact at Sacrower See (NE Germany) during the past 13,000 years: a geochemical record”. Journal of Paleolimnology 43, nr. 4 (2010): 719–37.",NA,NA,NA,NA,NA,Update 6,NA,NA,165
Grosser Plötzensee,Germany,Brandenburg,52.543611,13.330556,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Homann, M., J. Merkt, og H. Müller. “Sedimentologische und pollenanalytische Untersuchungen einiger mecklenburgischer Seen - ein West-Ost-Transekt”. Greifswalder Geographische Arbeiten 26 (2002): 35–38.",NA,NA,NA,NA,NA,NA,5914400,4600800,166
Hennigsdorf,Germany,Brandenburg,52.638355,13.169542,Schönwalde P Schö 2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NE,1,"Federmessergruppen nearby, possible associated with vegetation disturbance during the ealry/middle Allerød",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Kloss, Klaus, og Klaus-Peter Wechler. “Federmesserfundplatz und anthropogene Einflüsse in einem Pollendiagramm zum Spätglazial bei Henningsdorf, Kr. Oranienburg”. Ausgrabungen & Funde 32, nr. 2 (1987): 54–62.","Klerk, Pim de. “Lateglacial and Early Holocene vegetation history near Hennigsdorf (C Brandenburg, NE Germany): a new interpretation of palynological data of Klaus Kloss”. Archiv für Naturschutz und Landschaftsforschung 45, nr. 1 (2006): 37–52.",NA,NA,NA,NA,NA,NA,NA,167
Werbelsee,Germany,Brandenburg,52.581944,12.2425,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,335,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Mundel, Gerhart. “GEOGENETISCHE UND PEDOGENETISCHE UNTERSUCHUNGEN IN VERLANDUNGSMOOREN UND VERLANDUNGSSÄUMEN VON SEEN IM HAVELLAND”. Archives of Agronomy and Soil Science 49, nr. 2 (2003): 129–40.",NA,NA,NA,NA,NA,NA,NA,NA,168
Stechlinsee,Germany,Brandenburg,53.1525,13.028889,I/II/III,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Zerbe, S., A. Brande, og F. Gladitz. “Kiefer, Eiche und Buche in der Menzer Heide (N-Brandenburg). Veränderungen der Waldvegetation unter dem Einfluß des Menschen”. Verhandlungen des Botanischen Vereins von Berlin und Brandenburg 133 (2000): 45–86.","Brande, A. “Zur Palynologie des Großen Stechlinsees (Brandenburg)”. Greifswalder Geographische Arbeiten 26 (2002): 135–38.",NA,NA,NA,NA,NA,NA,NA,169
Neuendorfer See (Spreewald),Germany,Brandenburg,52.114722,13.928056,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Theuerkauf (pers.comm.),NA,NA,NA,NA,NA,NA,NA,NA,170
Tegeler See,Germany,Brandenburg,52.576111,13.253889,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,Same as Tegeler Forst?,"Brande, A. “Pollenanalytische Untersuchungen Im Spätglazial Und Frühem Postglazial Berlins.” Verhandlungen Des Botanischen Vereins Der Provinz Brandenburg 115 (1980): 21–72.","Brande, A. “Zum Stand der palynologischen Forschung im Berliner Quartär”. Documenta naturae 44 (1988): 1–7.","Brande, A. “Eine Synthese zur säkularen Landschaftsentwicklung in Berlin (West)”. Verhandlungen des Botanischen Vereins von Berlin und Brandenburg 8 (1990): 21–31.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,171
Töpchiner See,Germany,Brandenburg,52.168333,13.588889,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,5781478,4608153,172
Tegeler Forst,Germany,Brandenburg,52.587222,13.241111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,Yes,NA,"Bogaard, Paul van den, og Hans-Ulrich Schmincke. “Laacher See Tephra: A widespread isochronous late Quaternary tephra layer in Central and Northern Europe”. Geological Society of America Bulletin 96, nr. 12 (1985): 1554–71. https://doi.org/10.1130/0016-7606(1985)96<1554:LSTAWI>2.0.CO;2.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,173
Stülper See,Germany,Brandenburg,52.0475,13.289444,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Giesecke, T. “Pollenanalytische und sedimentchemische Untersuchungen zur Landschaftsgeschichte am Großen Treppelsee (Ost-Brandenburg, Deutschland)”. Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin N.F. 39 (2000): 89–112.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,5768750,4590550,174
Siepegrabenmoor,Germany,Brandenburg,52.388611,13.257778,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Brande, A., P. Hoelzmann, og J. Klawitter. “Genese und Palökologie eines brandenburgischen Kesselmoores”. Telma 20 (1990): 27–54.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,5809870,4585160,175
Seddiner See,Germany,Brandenburg,52.275502,13.022597,1/96 (GK 3744),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,NA,176
Schwanengrabenrinne,Germany,Brandenburg,52.506667,13.060278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Wolters, S. Vegetationsgeschichtliche Untersuchungen zur spätglazialen und holozänen Landschaftsentwicklung in der Döberitzer Heide (Brandenburg). Bd. 366. Disserationes Botanicae. Berlin: J. Cramer, 2002.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,177
Schollene,Germany,Brandenburg,52.674167,12.194722,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Mathews, A. “Spät- und postglaziale Gewässerentwicklung im Elbe-Havel-Winkel am Beispiel eines palynologisch bearbeiteten Profils aus dem Schollener Land. Untere Havel”. Naturkundliche Berichte 6/7 (1997): 3–8.","Mathews, A. “Palynologische Untersuchungen zur Vegetationsentwicklung im Mittelelbegebiet”. Telma 30 (2000): 9–42.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,178
Schlangenpfuhl (Eberswalde),Germany,Brandenburg,52.818611,13.811111,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kloss, K. “Das Pollendiagramm vom Schlangenpfuhl in Eberswalde, Krs. Barnim”. Veröffentlichungen des Brandenburger Museums für Ur- und Frühgeschichte 28 (1994): 99–104.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,179
Runder Köllnsee,Germany,Brandenburg,52.979722,13.671667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.",NA,NA,NA,NA,NA,NA,NA,NA,180
